|ID   |Url                                                                                                                                                                                                                 |Type   |Status|
|16   |https://images.unsplash.com/photo-1491553895911-0055eca6402d?q=80&w=1480&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D                                              |Variant|Active|
|17   |https://i.pinimg.com/736x/6c/75/a1/6c75a11c6caa5d00ee304997b0006c10.jpg                                                                                                                                             |Banner |Active|
|18   |https://as2.ftcdn.net/v2/jpg/04/28/82/65/1000_F_428826506_Qr9L5ScpKXZBAOnmdryBljNiB26hPVhf.jpg                                                                                                                      |Variant|Active|
|19   |https://images.unsplash.com/photo-1698108223380-ea18368f1dfe?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D                                               |Banner |Active|
|20   |https://as1.ftcdn.net/v2/jpg/05/83/89/04/1000_F_583890430_t2yDwmsuF7zuILrOkLpuGNvapBDHQYCs.jpg                                                                                                                      |Variant|Active|
|21   |https://as1.ftcdn.net/v2/jpg/05/37/29/26/1000_F_537292646_bWNKTzicRDPGdJabqXUDXm4jmdnJpRgi.jpg                                                                                                                      |Variant|Active|
|22   |https://assets.adidas.com/images/h_2000,f_auto,q_auto,fl_lossy,c_fill,g_auto/7b283df1eb6c4c9ab4a3afb200f9876a_9366/Giay_Samba_OG_trang_IG1025_01_00_standard.jpg                                                    |Variant|Active|
|23   |https://assets.adidas.com/images/h_2000,f_auto,q_auto,fl_lossy,c_fill,g_auto/43d0a51cea1c494d87b7afb200f9a16e_9366/Giay_Samba_OG_trang_IG1025_02_standard_hover.jpg                                                 |Variant|Active|
|24   |https://assets.adidas.com/images/h_2000,f_auto,q_auto,fl_lossy,c_fill,g_auto/df442b2c30ae428cae91afb200f9a931_9366/Giay_Samba_OG_trang_IG1025_03_standard.jpg                                                       |Variant|Active|
|25   |https://assets.adidas.com/images/h_2000,f_auto,q_auto,fl_lossy,c_fill,g_auto/3d22ad048e2d41e4ab61afb200f9b333_9366/Giay_Samba_OG_trang_IG1025_04_standard.jpg                                                       |Variant|Active|
|26   |https://assets.adidas.com/images/h_2000,f_auto,q_auto,fl_lossy,c_fill,g_auto/4c70105150234ac4b948a8bf01187e0c_9366/Giay_Samba_OG_DJen_B75807_01_standard.jpg                                                        |Variant|Active|
|27   |https://assets.adidas.com/images/h_2000,f_auto,q_auto,fl_lossy,c_fill,g_auto/309a0c8f53dd45d3a3bea8bf0118aa6b_9366/Giay_Samba_OG_DJen_B75807_02_standard.jpg                                                        |Variant|Active|
|28   |https://assets.adidas.com/images/h_2000,f_auto,q_auto,fl_lossy,c_fill,g_auto/a3ffa88f92a74c6d9979a8bf0118b9d0_9366/Giay_Samba_OG_DJen_B75807_03_standard.jpg                                                        |Variant|Active|
|29   |https://assets.adidas.com/images/h_2000,f_auto,q_auto,fl_lossy,c_fill,g_auto/a766df52607e42858ddba8bf0118c6cb_9366/Giay_Samba_OG_DJen_B75807_04_standard.jpg                                                        |Variant|Active|
|31   |https://res.cloudinary.com/daejhfapw/image/upload/v1765497920/sneaker-poly/oxjqg6citxpkwm6y2wp4.png                                                                                                                 |Hero   |Active|
|32   |https://res.cloudinary.com/daejhfapw/image/upload/v1765498088/sneaker-poly/i4c2w6tzf7mr2ld7yprb.png                                                                                                                 |Hero   |Active|
|33   |https://res.cloudinary.com/daejhfapw/image/upload/v1765498311/sneaker-poly/jxhforowgzxk3k51vybr.png                                                                                                                 |Hero   |Active|
|35   |https://res.cloudinary.com/daejhfapw/image/upload/v1765498764/sneaker-poly/y6fny8ndb6urpur9o3un.png                                                                                                                 |Hero   |Active|
|36   |https://res.cloudinary.com/daejhfapw/image/upload/v1765498913/sneaker-poly/vjgzhdixpplhtuvuhfpd.png                                                                                                                 |Hero   |Active|
|37   |https://res.cloudinary.com/daejhfapw/image/upload/v1765499579/avatars/epqsdzlqh6twqmmtmp9h.jpg                                                                                                                      |Avatar |Active|
|38   |https://res.cloudinary.com/daejhfapw/image/upload/v1765499623/avatars/qewq5rzlpurmhbz7mljw.jpg                                                                                                                      |Avatar |Active|
|39   |https://static.nike.com/a/images/t_web_pdp_535_v2/f_auto,u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/bb4eeb64-9aae-471c-8046-0ac8a2e6c8a7/AIR+JORDAN+1+LOW+SE+%28GS%29.png|Variant|Active|
|40   |https://static.nike.com/a/images/t_web_pdp_535_v2/f_auto,u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/e4bbbf0d-6a22-47e7-a98f-b2739e35b9fb/AIR+JORDAN+1+LOW+SE+%28GS%29.png|Variant|Active|
|41   |https://static.nike.com/a/images/t_web_pdp_535_v2/f_auto,u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/2bac487f-2f02-4cc5-b439-ee1945abdc24/AIR+JORDAN+1+LOW+SE+%28GS%29.png|Variant|Active|
|42   |https://static.nike.com/a/images/t_web_pdp_535_v2/f_auto,u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/b13f886e-d87e-4244-b9e1-9d40cdcb3c0b/AIR+JORDAN+1+LOW+SE+%28GS%29.png|Variant|Active|
|43   |https://static.nike.com/a/images/t_web_pdp_535_v2/f_auto,u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/096a7e38-32df-4d6e-92fb-8410c3b20a7e/AIR+JORDAN+1+LOW+SE+%28GS%29.png|Variant|Active|
|44   |https://static.nike.com/a/images/t_web_pdp_535_v2/f_auto,u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/0aaa79bf-4a46-43aa-a7a7-149a9d1df933/AIR+JORDAN+1+LOW+SE+%28GS%29.png|Variant|Active|
|45   |https://static.nike.com/a/images/t_web_pdp_535_v2/f_auto,u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/096a7e38-32df-4d6e-92fb-8410c3b20a7e/AIR+JORDAN+1+LOW+SE+%28GS%29.png|Variant|Active|
|46   |https://static.nike.com/a/images/t_web_pdp_535_v2/f_auto,u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/7c139d5a-99ed-4ca0-a755-88c0203f0433/AIR+JORDAN+1+LOW+SE+%28GS%29.png|Variant|Active|
|1,018|https://res.cloudinary.com/daejhfapw/image/upload/v1765635376/sneaker-poly/qazyapjzfp7mn6droi90.png                                                                                                                 |Variant|Active|
|1,019|https://res.cloudinary.com/daejhfapw/image/upload/v1765635377/sneaker-poly/ygsae4gitp06rhchizhs.png                                                                                                                 |Variant|Active|
|1,020|https://res.cloudinary.com/daejhfapw/image/upload/v1765635378/sneaker-poly/tn5qhbbej6wibodzzzix.png                                                                                                                 |Variant|Active|
|1,021|https://res.cloudinary.com/daejhfapw/image/upload/v1765635379/sneaker-poly/fvxrhpss9cm7uyyzpume.png                                                                                                                 |Variant|Active|
|2,018|https://res.cloudinary.com/daejhfapw/image/upload/v1768231749/avatars/auqfxi7b3frpryxnmkz9.jpg                                                                                                                      |Avatar |Active|
